rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1606295379778762955,,44082,,1606295378,738045737,"""spatial""",,0,0,38.2546350405,140.835519582,197.486877441,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379778789811,,44083,,1606295378,842897146,"""spatial""",,0,0,38.2546350271,140.835519578,197.486679077,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379778827747,,44084,,1606295378,933588455,"""spatial""",,0,0,38.2546349864,140.835519582,197.487121582,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379778861107,,44085,,1606295379,43111388,"""spatial""",,0,0,38.2546349772,140.835519569,197.486923218,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379778958814,,44086,,1606295379,133718810,"""spatial""",,0,0,38.254634957,140.835519581,197.486923218,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779008144,,44087,,1606295379,238575056,"""spatial""",,0,0,38.2546349271,140.835519605,197.487075806,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779028970,,44088,,1606295379,329066840,"""spatial""",,0,0,38.2546348978,140.835519614,197.486343384,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779192473,,44089,,1606295379,433929773,"""spatial""",,0,0,38.2546348991,140.835519631,197.48626709,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779340599,,44090,,1606295379,529790645,"""spatial""",,0,0,38.2546349005,140.835519639,197.485900879,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779368913,,44091,,1606295379,634087016,"""spatial""",,0,0,38.2546349083,140.835519661,197.485626221,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779517799,,44092,,1606295379,728485137,"""spatial""",,0,0,38.2546349212,140.835519669,197.485855103,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379779756365,,44093,,1606295379,833382933,"""spatial""",,0,0,38.2546349508,140.835519684,197.48651123,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379834583951,,44094,,1606295379,943574066,"""spatial""",,0,0,38.2546349531,140.835519722,197.487335205,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295379927290339,,44095,,1606295380,34509913,"""spatial""",,0,0,38.2546349682,140.83551975,197.487106323,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295380035105946,,44096,,1606295380,143766971,"""spatial""",,0,0,38.2546349636,140.835519753,197.487121582,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295380121156211,,44097,,1606295380,229227193,"""spatial""",,0,0,38.2546349759,140.835519782,197.486953735,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295380232143337,,44098,,1606295380,339293814,"""spatial""",,0,0,38.254634998,140.83551981,197.487136841,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1606295380321836963,,44099,,1606295380,427930573,"""spatial""",,0,0,38.2546350429,140.835519828,197.487411499,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
