rosbagTimestamp,data
1606295379779260048,"""1606295379.499973,38.254632,140.835521,197.494000,0.011000,0.017000,-0.007000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295379834697860,"""1606295379.699973,38.254632,140.835521,197.495000,0.014000,0.015000,-0.006000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295379925898485,"""1606295379.699973,38.254632,140.835521,197.495000,0.014000,0.015000,-0.006000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295380018133309,"""1606295379.899973,38.254632,140.835521,197.494000,0.012000,0.015000,-0.005000,6.304000,6.304000,9.552000,2,1,1,0"""
1606295380121332755,"""1606295379.899973,38.254632,140.835521,197.494000,0.012000,0.015000,-0.005000,6.304000,6.304000,9.552000,2,1,1,0"""
1606295380232281921,"""1606295380.99973,38.254632,140.835521,197.497000,0.028000,0.021000,-0.006000,6.304000,6.304000,9.552000,2,1,1,0"""
1606295380321969959,"""1606295380.299973,38.254632,140.835521,197.491000,0.051000,0.022000,0.000000,6.304000,6.304000,9.552000,2,1,1,0"""
1606295380434059553,"""1606295380.299973,38.254632,140.835521,197.491000,0.051000,0.022000,0.000000,6.304000,6.304000,9.552000,2,1,1,0"""
1606295380521958851,"""1606295380.399973,38.254633,140.835521,197.497000,0.069000,0.021000,-0.004000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295380632599722,"""1606295380.399973,38.254633,140.835521,197.497000,0.069000,0.021000,-0.004000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295380725757099,"""1606295380.599973,38.254633,140.835521,197.491000,0.058000,0.023000,-0.004000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295380830687006,"""1606295380.599973,38.254633,140.835521,197.491000,0.058000,0.023000,-0.004000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295380925911208,"""1606295380.799973,38.254633,140.835521,197.501000,0.047000,0.025000,-0.016000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295381289099644,"""1606295380.799973,38.254633,140.835521,197.501000,0.047000,0.025000,-0.016000,6.288000,6.288000,9.520000,2,1,1,0"""
1606295381347525943,"""1606295380.999973,38.254633,140.835521,197.502000,0.050000,0.015000,-0.014000,6.288000,6.288000,9.536000,2,1,1,0"""
