time,.left,.right,.forward,.stop,.sound
2020/10/19/16:06:21.916594,0,1,0,0,0
2020/10/19/16:06:21.916628,0,1,0,0,0
2020/10/19/16:06:21.916647,0,1,0,0,0
2020/10/19/16:06:21.916684,0,1,0,0,0
2020/10/19/16:06:21.916703,0,1,0,0,0
2020/10/19/16:06:21.916719,0,1,0,0,0
2020/10/19/16:06:21.925987,0,1,0,0,0
2020/10/19/16:06:21.926011,0,1,0,0,0
2020/10/19/16:06:21.926025,0,1,0,0,0
2020/10/19/16:06:21.926037,0,1,0,0,0
2020/10/19/16:06:21.926048,0,1,0,0,0
2020/10/19/16:06:21.926058,0,1,0,0,0
2020/10/19/16:06:21.926068,0,1,0,0,0
2020/10/19/16:06:21.926079,0,1,0,0,0
2020/10/19/16:06:21.928503,0,1,0,0,0
2020/10/19/16:06:21.936072,0,1,0,0,0
2020/10/19/16:06:21.938736,0,1,0,0,0
2020/10/19/16:06:21.943545,0,1,0,0,0
2020/10/19/16:06:21.950854,0,1,0,0,0
2020/10/19/16:06:21.954072,0,1,0,0,0
2020/10/19/16:06:21.961617,0,1,0,0,0
2020/10/19/16:06:21.964097,0,1,0,0,0
2020/10/19/16:06:21.968202,0,1,0,0,0
2020/10/19/16:06:21.973471,0,1,0,0,0
2020/10/19/16:06:21.978279,0,1,0,0,0
2020/10/19/16:06:21.986728,0,1,0,0,0
2020/10/19/16:06:21.992013,0,1,0,0,0
2020/10/19/16:06:21.994382,0,1,0,0,0
2020/10/19/16:06:21.998282,0,1,0,0,0
2020/10/19/16:06:22.003560,0,1,0,0,0
2020/10/19/16:06:22.008132,0,1,0,0,0
2020/10/19/16:06:22.013324,0,1,0,0,0
2020/10/19/16:06:22.018690,0,1,0,0,0
2020/10/19/16:06:22.023130,0,1,0,0,0
2020/10/19/16:06:22.028578,0,1,0,0,0
2020/10/19/16:06:22.033547,0,1,0,0,0
2020/10/19/16:06:22.039115,0,1,0,0,0
2020/10/19/16:06:22.044714,0,1,0,0,0
2020/10/19/16:06:22.049685,0,1,0,0,0
2020/10/19/16:06:22.055793,0,1,0,0,0
2020/10/19/16:06:22.058882,0,1,0,0,0
2020/10/19/16:06:22.063307,0,1,0,0,0
2020/10/19/16:06:22.069227,0,1,0,0,0
2020/10/19/16:06:22.073418,0,1,0,0,0
2020/10/19/16:06:22.078648,0,1,0,0,0
2020/10/19/16:06:22.084021,0,1,0,0,0
2020/10/19/16:06:22.094638,0,1,0,0,0
2020/10/19/16:06:22.096465,0,1,0,0,0
2020/10/19/16:06:22.099473,0,1,0,0,0
2020/10/19/16:06:22.103373,0,1,0,0,0
2020/10/19/16:06:22.108233,0,1,0,0,0
2020/10/19/16:06:22.113813,0,1,0,0,0
2020/10/19/16:06:22.118736,0,1,0,0,0
2020/10/19/16:06:22.123674,0,1,0,0,0
2020/10/19/16:06:22.129301,0,1,0,0,0
2020/10/19/16:06:22.134302,0,1,0,0,0
2020/10/19/16:06:22.139179,0,1,0,0,0
2020/10/19/16:06:22.144291,0,1,0,0,0
