time,.left,.right,.forward,.stop,.sound
2020/11/02/21:42:51.188483,0,0,0,0,0
2020/11/02/21:42:51.193240,0,0,0,0,0
2020/11/02/21:42:51.197214,0,0,0,0,0
2020/11/02/21:42:51.201927,0,0,0,0,0
2020/11/02/21:42:51.208086,0,0,0,0,0
2020/11/02/21:42:51.212948,0,0,0,0,0
2020/11/02/21:42:51.218569,0,0,0,0,0
2020/11/02/21:42:51.223302,0,0,0,0,0
2020/11/02/21:42:51.228067,0,0,0,0,0
2020/11/02/21:42:51.232581,0,0,0,0,0
2020/11/02/21:42:51.237592,0,0,0,0,0
2020/11/02/21:42:51.243080,0,0,0,0,0
2020/11/02/21:42:51.247874,0,0,0,0,0
2020/11/02/21:42:51.252863,0,0,0,0,0
2020/11/02/21:42:51.259601,0,0,0,0,0
2020/11/02/21:42:51.263175,0,0,0,0,0
2020/11/02/21:42:51.267717,0,0,0,0,0
2020/11/02/21:42:51.273490,0,0,0,0,0
2020/11/02/21:42:51.277142,0,0,0,0,0
2020/11/02/21:42:51.282663,0,0,0,0,0
2020/11/02/21:42:51.287690,0,0,0,0,0
2020/11/02/21:42:51.292792,0,0,0,0,0
2020/11/02/21:42:51.297493,0,0,0,0,0
2020/11/02/21:42:51.302971,0,0,0,0,0
2020/11/02/21:42:51.309275,0,0,0,0,0
2020/11/02/21:42:51.312928,0,0,0,0,0
2020/11/02/21:42:51.317871,0,0,0,0,0
2020/11/02/21:42:51.323615,0,0,0,0,0
2020/11/02/21:42:51.329811,0,0,0,0,0
2020/11/02/21:42:51.332832,0,0,0,0,0
2020/11/02/21:42:51.337615,0,0,0,0,0
2020/11/02/21:42:51.342495,0,0,0,0,0
2020/11/02/21:42:51.347848,0,0,0,0,0
2020/11/02/21:42:51.352892,0,0,0,0,0
2020/11/02/21:42:51.358366,0,0,0,0,0
2020/11/02/21:42:51.364824,0,0,0,0,0
2020/11/02/21:42:51.370882,0,0,0,0,0
2020/11/02/21:42:51.373251,0,0,0,0,0
2020/11/02/21:42:51.379308,0,0,0,0,0
2020/11/02/21:42:51.385993,0,0,0,0,0
2020/11/02/21:42:51.387630,0,0,0,0,0
2020/11/02/21:42:51.392401,0,0,0,0,0
2020/11/02/21:42:51.394414,0,0,0,0,0
2020/11/02/21:42:51.397488,1,0,0,0,0
2020/11/02/21:42:51.403210,1,0,0,0,0
2020/11/02/21:42:51.407778,1,0,0,0,0
2020/11/02/21:42:51.412336,1,0,0,0,0
2020/11/02/21:42:51.416865,1,0,0,0,0
2020/11/02/21:42:51.423653,1,0,0,0,0
2020/11/02/21:42:51.428300,1,0,0,0,0
2020/11/02/21:42:51.432281,1,0,0,0,0
2020/11/02/21:42:51.437579,1,0,0,0,0
2020/11/02/21:42:51.442361,1,0,0,0,0
2020/11/02/21:42:51.447186,1,0,0,0,0
2020/11/02/21:42:51.452452,1,0,0,0,0
2020/11/02/21:42:51.457317,1,0,0,0,0
2020/11/02/21:42:51.462480,1,0,0,0,0
2020/11/02/21:42:51.466810,1,0,0,0,0
2020/11/02/21:42:51.476189,1,0,0,0,0
2020/11/02/21:42:51.478642,1,0,0,0,0
2020/11/02/21:42:51.483288,1,0,0,0,0
2020/11/02/21:42:51.488319,1,0,0,0,0
2020/11/02/21:42:51.492578,1,0,0,0,0
2020/11/02/21:42:51.497687,1,0,0,0,0
2020/11/02/21:42:51.502282,1,0,0,0,0
2020/11/02/21:42:51.507380,1,0,0,0,0
2020/11/02/21:42:51.512030,1,0,0,0,0
2020/11/02/21:42:51.517249,1,0,0,0,0
2020/11/02/21:42:51.523888,1,0,0,0,0
2020/11/02/21:42:51.527395,1,0,0,0,0
2020/11/02/21:42:51.537952,1,0,0,0,0
2020/11/02/21:42:51.537972,1,0,0,0,0
2020/11/02/21:42:51.543337,1,0,0,0,0
2020/11/02/21:42:51.548261,1,0,0,0,0
2020/11/02/21:42:51.552415,1,0,0,0,0
2020/11/02/21:42:51.558096,1,0,0,0,0
2020/11/02/21:42:51.562491,1,0,0,0,0
2020/11/02/21:42:51.567623,1,0,0,0,0
2020/11/02/21:42:51.572646,1,0,0,0,0
2020/11/02/21:42:51.578573,1,0,0,0,0
2020/11/02/21:42:51.584774,1,0,0,0,0
2020/11/02/21:42:51.588874,1,0,0,0,0
2020/11/02/21:42:51.593296,1,0,0,0,0
2020/11/02/21:42:51.598484,1,0,0,0,0
2020/11/02/21:42:51.603442,1,0,0,0,0
2020/11/02/21:42:51.608016,1,0,0,0,0
2020/11/02/21:42:51.614831,1,0,0,0,0
2020/11/02/21:42:51.619532,1,0,0,0,0
2020/11/02/21:42:51.625280,1,0,0,0,0
2020/11/02/21:42:51.629179,1,0,0,0,0
2020/11/02/21:42:51.634403,1,0,0,0,0
2020/11/02/21:42:51.639343,1,0,0,0,0
2020/11/02/21:42:51.643760,1,0,0,0,0
2020/11/02/21:42:51.649983,1,0,0,0,0
2020/11/02/21:42:51.662068,1,0,0,0,0
2020/11/02/21:42:51.662083,1,0,0,0,0
2020/11/02/21:42:51.669116,1,0,0,0,0
